"dates","title","ressort"
2019-08-12,"Fünfjahresplan für kostenlosen Nahverkehr","Mobilität"
2019-08-09,"Dutzende deutsche Städte im Klimanotstand","Wissenschaft"
2019-08-07,"Darum wird Fleisch niedriger besteuert als Babynahrung","Wirtschaft"
2019-08-06,"Selten so geschämt","Mobilität"
2019-08-03,"Grüne erwägen Pflichtticket für Touristen","Reise"
2019-07-31,"Hamburg startet Testbetrieb mit autonomem Kleinbus","Mobilität"
2019-07-31,"Regierung beschließt Wohlfühlpaket für E-Autofahrer","Mobilität"
2019-07-29,"Bloß keine neue Steuer","Politik"
2019-07-24,"Union will Pendlerpauschale für Arbeitnehmer erhöhen","Mobilität"
2019-07-17,"Uber startet in Hamburg - wieder","Mobilität"
2019-07-10,"Monheim bekommt kostenlosen Nahverkehr","Mobilität"
2019-07-03,"""Jede Normallösung ist eine vertane Chance""","Wirtschaft"
2019-07-01,"""Ihnen hätte ich es ja nicht zugetraut"" - wie junge Politiker die Stadträte erobern","Politik"
2019-07-01,"SPD, Grüne und Linke einigen sich auf Koalitionsvertrag","Politik"
2019-06-28,"Autos raus","Politik"
2019-06-28,"Mobil ohne Stau","Politik"
2019-06-15,"Worauf Sie beim E-Scooter-Kauf achten sollten","Mobilität"
2019-05-23,"Wuchtsummer","Mobilität"
2019-05-18,"Regierungsberater wollen City-Maut und Ausbau des Nahverkehrs","Mobilität"
2019-05-11,"Uber das Auto hinaus","Mobilität"
2019-05-03,"Fahren Sie etwa noch im eigenen Auto?","Wirtschaft"
2019-05-03,"Uberholmanöver","Wirtschaft"
2019-05-03,"Briefe","Politik"
2019-04-26,"""Zwei Drittel aller Autos müssen verschwinden - und zwar nicht nur von den Straßen""","Mobilität"
2019-04-16,"Sorry, Fridays for Future, aber: eine CO2-Steuer würde die Falschen treffen","Panorama"
2019-04-15,"Wirklich mobil ohne Auto? So schlägt Moia sich im Alltag","Mobilität"
2019-04-13,"So funktioniert VWs Volksfahrdienst","Mobilität"
2019-04-12,"Ein-Euro-Ticket für alle, die ihr Auto abmelden","Mobilität"
